customer_id,failure_reason,amount,retry_count,customer_tenure_months
CUST_0000,bank_decline,199,0,16
CUST_0001,insufficient_funds,199,2,6
CUST_0002,bank_decline,199,0,6
CUST_0003,insufficient_funds,199,2,13
CUST_0004,bank_decline,1999,0,29
CUST_0005,bank_decline,199,0,28
CUST_0006,insufficient_funds,499,0,22
CUST_0007,insufficient_funds,1999,0,23
CUST_0008,bank_decline,999,0,30
CUST_0009,expired_card,1999,0,36
CUST_0010,insufficient_funds,999,2,13
CUST_0011,bank_decline,199,0,19
CUST_0012,network_error,499,0,25
CUST_0013,insufficient_funds,999,0,24
CUST_0014,expired_card,999,0,11
CUST_0015,expired_card,499,0,30
CUST_0016,expired_card,499,0,4
CUST_0017,insufficient_funds,199,0,26
CUST_0018,insufficient_funds,499,2,21
CUST_0019,insufficient_funds,1999,1,30
CUST_0020,insufficient_funds,499,0,36
CUST_0021,expired_card,1999,2,26
CUST_0022,expired_card,499,2,32
CUST_0023,insufficient_funds,199,0,10
CUST_0024,bank_decline,1999,2,5
CUST_0025,expired_card,1999,2,17
CUST_0026,network_error,199,0,35
CUST_0027,bank_decline,999,0,19
CUST_0028,expired_card,1999,0,17
CUST_0029,network_error,499,2,7
CUST_0030,network_error,999,2,13
CUST_0031,insufficient_funds,499,2,34
CUST_0032,network_error,999,1,2
CUST_0033,insufficient_funds,999,0,16
CUST_0034,insufficient_funds,199,0,32
CUST_0035,bank_decline,499,0,31
CUST_0036,network_error,499,0,34
CUST_0037,network_error,1999,0,35
CUST_0038,bank_decline,499,0,26
CUST_0039,network_error,999,1,34
CUST_0040,expired_card,499,0,5
CUST_0041,insufficient_funds,499,2,15
CUST_0042,insufficient_funds,199,0,5
CUST_0043,network_error,999,0,33
CUST_0044,insufficient_funds,1999,0,35
CUST_0045,insufficient_funds,1999,0,31
CUST_0046,bank_decline,499,0,7
CUST_0047,bank_decline,999,1,27
CUST_0048,expired_card,199,0,4
CUST_0049,expired_card,999,0,16
CUST_0050,insufficient_funds,1999,0,28
CUST_0051,insufficient_funds,1999,0,5
CUST_0052,expired_card,199,0,35
CUST_0053,bank_decline,199,0,11
CUST_0054,expired_card,1999,0,26
CUST_0055,network_error,499,1,1
CUST_0056,network_error,999,1,19
CUST_0057,expired_card,1999,0,13
CUST_0058,insufficient_funds,199,2,35
CUST_0059,insufficient_funds,999,0,4
CUST_0060,bank_decline,499,0,33
CUST_0061,insufficient_funds,499,0,5
CUST_0062,bank_decline,499,1,8
CUST_0063,network_error,499,2,3
CUST_0064,bank_decline,1999,2,34
CUST_0065,insufficient_funds,999,0,21
CUST_0066,insufficient_funds,1999,0,20
CUST_0067,expired_card,199,0,30
CUST_0068,bank_decline,199,0,35
CUST_0069,insufficient_funds,999,0,23
